Report for 'Tester4' Saving Plan
+------------+-----------+----------------+
|    Date    |  Interest |  Total Amount  |
+------------+-----------+----------------+
| 1 -1 -2013 | Rp 6000   | Rp 606000      |
| 1 -2 -2013 | Rp 6000   | Rp 1212000     |
| 1 -3 -2013 | Rp 6000   | Rp 1818000     |
| 1 -4 -2013 | Rp 6000   | Rp 2424000     |
| 1 -5 -2013 | Rp 6000   | Rp 3030000     |
| 1 -6 -2013 | Rp 6000   | Rp 3636000     |
| 1 -7 -2013 | Rp 6000   | Rp 4242000     |
| 1 -8 -2013 | Rp 6000   | Rp 4848000     |
| 1 -9 -2013 | Rp 6000   | Rp 5454000     |
| 1 -10-2013 | Rp 6000   | Rp 6060000     |
| 1 -11-2013 | Rp 6000   | Rp 6666000     |
| 1 -12-2013 | Rp 6000   | Rp 7272000     |
| 1 -1 -2014 | Rp 6000   | Rp 7878000     |
| 1 -2 -2014 | Rp 6000   | Rp 8484000     |
| 1 -3 -2014 | Rp 6000   | Rp 9090000     |
| 1 -4 -2014 | Rp 6000   | Rp 9696000     |
| 1 -5 -2014 | Rp 6000   | Rp 10302000    |
| 1 -6 -2014 | Rp 6000   | Rp 10908000    |
| 1 -7 -2014 | Rp 6000   | Rp 11514000    |
| 1 -8 -2014 | Rp 6000   | Rp 12120000    |
| 1 -9 -2014 | Rp 6000   | Rp 12726000    |
| 1 -10-2014 | Rp 6000   | Rp 13332000    |
| 1 -11-2014 | Rp 6000   | Rp 13938000    |
| 1 -12-2014 | Rp 6000   | Rp 14544000    |
| 1 -1 -2015 | Rp 6000   | Rp 15150000    |
| 1 -2 -2015 | Rp 6000   | Rp 15756000    |
| 1 -3 -2015 | Rp 6000   | Rp 16362000    |
| 1 -4 -2015 | Rp 6000   | Rp 16968000    |
| 1 -5 -2015 | Rp 6000   | Rp 17574000    |
| 1 -6 -2015 | Rp 6000   | Rp 18180000    |
| 1 -7 -2015 | Rp 6000   | Rp 18786000    |
| 1 -8 -2015 | Rp 6000   | Rp 19392000    |
| 1 -9 -2015 | Rp 6000   | Rp 19998000    |
| 1 -10-2015 | Rp 6000   | Rp 20604000    |
| 1 -11-2015 | Rp 6000   | Rp 21210000    |
| 1 -12-2015 | Rp 7200   | Rp 21817200    |
| 1 -1 -2016 | Rp 7200   | Rp 22424400    |
| 1 -2 -2016 | Rp 7200   | Rp 23031600    |
| 1 -3 -2016 | Rp 7200   | Rp 23638800    |
| 1 -4 -2016 | Rp 7200   | Rp 24246000    |
| 1 -5 -2016 | Rp 7200   | Rp 24853200    |
| 1 -6 -2016 | Rp 7200   | Rp 25460400    |
| 1 -7 -2016 | Rp 7200   | Rp 26067600    |
| 1 -8 -2016 | Rp 7200   | Rp 26674800    |
| 1 -9 -2016 | Rp 7200   | Rp 27282000    |
| 1 -10-2016 | Rp 7200   | Rp 27889200    |
| 1 -11-2016 | Rp 7200   | Rp 28496400    |
| 1 -12-2016 | Rp 7200   | Rp 29103600    |
| 1 -1 -2017 | Rp 7200   | Rp 29710800    |
| 1 -2 -2017 | Rp 7200   | Rp 30318000    |
| 1 -3 -2017 | Rp 7200   | Rp 30925200    |
| 1 -4 -2017 | Rp 7200   | Rp 31532400    |
| 1 -5 -2017 | Rp 7200   | Rp 32139600    |
| 1 -6 -2017 | Rp 7200   | Rp 32746800    |
| 1 -7 -2017 | Rp 7200   | Rp 33354000    |
| 1 -8 -2017 | Rp 7200   | Rp 33961200    |
| 1 -9 -2017 | Rp 7200   | Rp 34568400    |
| 1 -10-2017 | Rp 7200   | Rp 35175600    |
| 1 -11-2017 | Rp 7200   | Rp 35782800    |
| 1 -12-2017 | Rp 9000   | Rp 36391800    |
+------------+-----------+----------------+
